Month,Route,Time,Day,Incident,Station ID,Min Delay
1,501,1260,Sunday,Emergency Services,3051,0
1,505,577,Monday,General Delay,2194,0
1,504,594,Monday,Mechanical,14640,0
1,505,612,Monday,General Delay,2194,0
1,504,631,Monday,Held By,3374,0
1,510,691,Monday,Investigation,10927,0
1,505,819,Monday,General Delay,14639,0
1,503,919,Monday,Mechanical,15637,0
1,505,940,Monday,Mechanical,14639,0
1,505,951,Monday,Mechanical,14639,0
1,505,1011,Monday,Mechanical,14639,0
1,509,1356,Monday,Mechanical,15190,0
1,506,1378,Monday,Mechanical,986,0
1,504,326,Tuesday,Mechanical,3374,0
1,501,426,Tuesday,General Delay,3088,0
1,510,433,Tuesday,Held By,7353,0
1,509,438,Tuesday,Held By,13362,0
1,510,440,Tuesday,Held By,7353,0
1,510,448,Tuesday,Held By,7353,0
1,510,457,Tuesday,Held By,7353,0
1,510,466,Tuesday,Held By,7353,0
1,510,475,Tuesday,Held By,7353,0
1,504,524,Tuesday,Mechanical,14640,0
1,505,552,Tuesday,General Delay,2194,0
1,501,604,Tuesday,Investigation,14977,0
1,501,741,Tuesday,Mechanical,16354,0
1,505,745,Tuesday,Mechanical,2171,0
1,505,814,Tuesday,General Delay,14639,1
1,506,855,Tuesday,Mechanical,1082,0
1,505,870,Tuesday,Mechanical,14639,0
1,512,890,Tuesday,Held By,8153,0
1,505,1060,Tuesday,Mechanical,14639,0
1,506,1185,Tuesday,Mechanical,814,0
1,510,1263,Tuesday,Emergency Services,10935,0
1,506,1311,Tuesday,Mechanical,817,0
1,509,15,Wednesday,Mechanical,13362,0
1,506,30,Wednesday,Emergency Services,844,0
1,506,303,Wednesday,Held By,1082,0
1,505,346,Wednesday,Investigation,2190,0
1,504,410,Wednesday,Mechanical,4188,0
1,504,490,Wednesday,Mechanical,4156,0
1,505,542,Wednesday,General Delay,2194,0
1,504,576,Wednesday,Emergency Services,15038,0
1,505,584,Wednesday,General Delay,2136,0
1,501,842,Wednesday,Held By,3061,0
1,503,860,Wednesday,Investigation,3033,0
1,505,868,Wednesday,General Delay,2136,0
1,505,923,Wednesday,Mechanical,2194,0
1,505,940,Wednesday,Mechanical,2194,0
1,510,955,Wednesday,Held By,7353,0
1,509,1374,Wednesday,Mechanical,15190,0
1,505,1390,Wednesday,Investigation,2194,0
1,512,1415,Wednesday,Mechanical,14778,0
1,512,73,Thursday,Mechanical,14778,0
1,501,95,Thursday,Held By,16354,1
1,512,113,Thursday,Mechanical,8171,0
1,505,500,Thursday,Mechanical,2141,0
1,506,506,Thursday,Mechanical,1082,0
1,505,544,Thursday,General Delay,2194,0
1,506,602,Thursday,Held By,1090,0
1,505,648,Thursday,Mechanical,2127,0
1,501,733,Thursday,Mechanical,3033,0
1,505,818,Thursday,General Delay,14639,0
1,506,870,Thursday,Mechanical,1082,1
1,505,887,Thursday,Utilized Off Route,14639,0
1,505,904,Thursday,Investigation,14639,0
1,506,928,Thursday,Investigation,986,0
