St Clair Station
St Clair Ave East at Yonge St - St Clair Station
St Clair Ave West at Deer Park Cres
St Clair Ave West at Avenue Rd West Side
St Clair Ave West at Dunvegan Rd West Side
St Clair Ave West at Russell Hill Rd
St Clair Ave West at Spadina Rd
St Clair Ave West at Tweedsmuir Ave
St Clair West Station
St Clair Ave West at Bathurst St
St Clair Ave West at Raglan Ave
St Clair Ave West at Wychwood Ave
St Clair Ave West at Christie St
St Clair Ave West at Arlington Ave
St Clair Ave West at Winona Dr
St Clair Ave West at Robina Ave
St Clair Ave West at Oakwood Ave
St Clair Ave West at Glenholme Ave
St Clair Ave West at Northcliffe Blvd West Side
St Clair Ave West at Dufferin St
St Clair Ave West at Earlscourt Ave
St Clair Ave West at Lansdowne Ave
St Clair Ave West at Caledonia Rd
St Clair Ave West at Laughton Ave
St Clair Ave West at Silverthorn Ave
St Clair Ave West at Cloverdale Rd
St Clair Ave West at Weston Rd/ Keele St West Side
Gunns Loop at St Clair Ave West


