Humber Loop at the Queensway
Opposite 2111 Lake Shore Blvd West
2155 Lake Shore Blvd West
Lake Shore Blvd West at Park Lawn Rd West Side
Lake Shore Blvd West at Legion Rd
Lake Shore Blvd West at Louisa St
Lake Shore Blvd West at Burlington St
Lake Shore Blvd West at Superior Ave
Lake Shore Blvd West at Mimico Ave
Lake Shore Blvd West at Hillside Ave
Lake Shore Blvd West at Symons St
Lake Shore Blvd West at Royal York Rd
Lake Shore Blvd West at First St
Lake Shore Blvd West at Third St
Lake Shore Blvd West at Fifth St
Lake Shore Blvd West at Islington Ave
Lake Shore Blvd West at Tenth St
Lake Shore Blvd West at Thirteenth St
Lake Shore Blvd West at Fifteenth St
Lake Shore Blvd West at Kipling Ave
Lake Shore Blvd West at Twenty Second St
Lake Shore Blvd West at Twenty Sixth St
Lake Shore Blvd West at Twenty Ninth St
Lake Shore Blvd West at Thirtieth St
Lake Shore Blvd West at Long Branch Ave
Lake Shore Blvd West at Thirty Seventh St
Long Branch Loop


