Main Street Station
Main St at Danforth Ave
Main St at Gerrard St East
Gerrard St East at Norwood Rd
Gerrard St East at Glenmount Park Rd
Gerrard St East at Golfview Ave
Gerrard St East at Woodbine Ave
Gerrard St East at Kingsmount Park Rd
Gerrard St East at Bowmore Rd
Gerrard St East at Beaton Ave
Gerrard St East at Coxwell Ave
Coxwell Ave at Lower Gerrard St East
Gerrard St East at Ashdale Ave
Gerrard St East at Woodfield Rd
Gerrard St East at Greenwood Ave
Gerrard St East at Prust Ave
Gerrard St East at Leslie St
Gerrard St East at Jones Ave
Gerrard St East at Marjory Ave
Gerrard St East at Pape Ave
Gerrard St East at Carlaw Ave
Gerrard St East at Logan Ave
Gerrard St East at de Grassi St
Gerrard St East at Broadview Ave
Gerrard St East at St Matthews Rd
Gerrard St East at River St
Gerrard St East at Sumach St
Gerrard St East at Sackville St
Gerrard St East at Parliament St
Parliament St at Carlton St
Carlton St at Ontario St
Carlton St at Sherbourne St
Carlton St at Jarvis St
Carlton St at Church St
Carlton St at Yonge St - College Station
College St at Bay St
College St at Elizabeth St
College St at Queen's Park - Queen's Park Station
College St at McCaul St
College St at St George St
College St at Spadina Ave
College St at Augusta Ave
College St at Borden St
College St at Bathurst St
College St at Euclid Ave
College St at Grace St
College St at Crawford St
College St at Ossington Ave
College St at Dovercourt Rd
College St at Havelock St
College St at Dufferin St
College St at Brock Ave
College St at Lansdowne Ave
Dundas St West at Sterling Rd
Dundas St West at Sorauren Ave
Dundas St West at Howard Park Ave
Howard Park Ave at Roncesvalles Ave
Dundas St West at Bloor St West
Dundas West Station
Howard Park Ave at Indian Rd
Howard Park Ave at Parkside Dr
High Park Loop

