Union Station Streetcar Platform
Queens Quay/Ferry Docks Station
Queens Quay West at Harbourfront Centre
Queens Quay West at Rees St West Side
Queens Quay Loop at Lower Spadina Ave
Spadina Ave at Queens Quay West North Side
Spadina Ave at Bremner Blvd North Side
Spadina Ave at Front St West North Side
Spadina Ave at King St West North Side
Spadina Ave at Richmond St West
Spadina Ave at Queen St West North Side
Spadina Ave at Sullivan St North Side
Spadina Ave at Dundas St West North Side
Spadina Ave at Nassau St
Spadina Ave at College St North Side
Spadina Ave at Willcocks St
Spadina Ave at Harbord St North Side
Spadina Ave at Sussex Ave
Spadina Station Streetcar Platform


