King St East at Parliament St
Parliament St at Richmond St East
Parliament St at Queen St East
Parliament St at Shuter St
Parliament St at Dundas St East
Dundas St East at Regent Park Blvd
Dundas St East at River St
Dundas St East at Munro St
Dundas St East at Broadview Ave
Broadview Ave at Queen St East
Queen St East at Carroll St
King St East at River St
King St East at Sumach St
King St East at Sackville St
King St East at Parliament St
King St East at Ontario St
King St East at Sherbourne St
King St West at Jarvis St West Side
King St East at Church St West Side
King St West at Yonge St West Side - King Station
King St West at Bay St West Side
King St West at Simcoe St - St. Andrew Station
King St West at John St West Side
King St West at Peter St
King St West at Spadina Ave West Side
King St West at Portland St
King St West at Bathurst St
King St West at Tecumseth St
King St West at Niagara St
King St West at Strachan Ave
King St West at Shaw St
Shaw St at Adelaide St West
Shaw St at Queen St West
Queen St West at Ossington Ave
Queen St West at Dovercourt Rd
Queen St West at Abell St
Queen St West at Gladstone Ave
Queen St West at Dufferin St West Side
Queen St West at Brock Ave
Queen St West at O'hara Ave
Queen St West at Lansdowne Ave
Queen St West at Sorauren Ave
Queen St West at Triller Ave
Queen St West at Roncesvalles Ave
the Queensway at Glendale Ave - St Joseph's Health Centre
the Queensway at Parkside Dr
the Queensway at Colborne Lodge Dr West Side
the Queensway at Ellis Ave West Side
the Queensway at Windermere Ave West Side
the Queensway at South Kingsway
Humber Loop at the Queensway
Opposite 2111 Lake Shore Blvd West
2155 Lake Shore Blvd West
Lake Shore Blvd West at Park Lawn Rd West Side
Lake Shore Blvd West at Legion Rd
Lake Shore Blvd West at Louisa St
Lake Shore Blvd West at Burlington St
Lake Shore Blvd West at Superior Ave
Lake Shore Blvd West at Mimico Ave
Lake Shore Blvd West at Hillside Ave
Lake Shore Blvd West at Symons St
Lake Shore Blvd West at Royal York Rd
Lake Shore Blvd West at First St
Lake Shore Blvd West at Third St
Lake Shore Blvd West at Fifth St
Lake Shore Blvd West at Islington Ave
Lake Shore Blvd West at Tenth St
Lake Shore Blvd West at Thirteenth St
Lake Shore Blvd West at Fifteenth St
Lake Shore Blvd West at Kipling Ave
Lake Shore Blvd West at Twenty Second St
Lake Shore Blvd West at Twenty Sixth St
Lake Shore Blvd West at Twenty Ninth St
Lake Shore Blvd West at Thirtieth St
Lake Shore Blvd West at Long Branch Ave
Lake Shore Blvd West at Thirty Seventh St
Long Branch Loop


