St Clair Station,14778
St Clair Ave East at Yonge St - St Clair Station,8146
St Clair Ave West at Deer Park Cres,14348
St Clair Ave West at Avenue Rd West Side,14350
St Clair Ave West at Dunvegan Rd West Side,14352
St Clair Ave West at Russell Hill Rd,14354
St Clair Ave West at Spadina Rd,8184
St Clair Ave West at Tweedsmuir Ave,14606
St.Clair West Station,16372
St Clair Ave West at Bathurst St,8153
St. Clair Ave West at Raglan Ave,16427
St Clair Ave West at Wychwood Ave,8191
St Clair Ave West at Christie St,8158
St Clair Ave West at Arlington Ave,8148
St Clair Ave West at Winona Dr,8189
St. Clair Ave West at Robina Ave,16428
St Clair Ave West at Oakwood Ave,8178
St Clair Ave West at Glenholme Ave,8166
St Clair Ave West at Northcliffe Blvd West Side,16389
St Clair Ave West at Dufferin St,8162
St Clair Ave West at Earlscourt Ave,9980
St Clair Ave West at Lansdowne Ave,8171
St Clair Ave West at Caledonia Rd,11715
St Clair Ave West at Laughton Ave,8172
St Clair Ave West at Silverthorn Ave,8183
St. Clair Ave West at Cloverdale Rd,16399
St Clair Ave West at Weston Rd/ Keele St West Side,8169
Gunns Loop at St Clair Ave West,14958
