Exhibition Loop,12584
Fleet St at Strachan Ave,1062
Fleet St at Fort York Blvd East Side,14508
Fleet St at Bastion St,14512
Fleet St at Bathurst St,10210
Bathurst St at Fort York Blvd,13672
Bathurst St at Niagara St,15224
Bathurst St at King St West,161
Bathurst St at Queen St West,186
Bathurst St at Carr St,15335
Bathurst St at Dundas St West - Toronto Western Hospital,126
Bathurst St at Nassau St - Toronto Western Hospital,16454
Bathurst St at College St,110
Bathurst St at Ulster St,212
Bathurst St at Harbord St,148
Bathurst St at Lennox St,167
Bathurst Station,14619
