Broadview Station,14639
Erindale Ave at Broadview Ave,2428
Broadview Ave at Danforth Ave,3371
Broadview Ave at Wolfrey Ave,1769
Broadview Ave at Millbrook Cres,1762
Broadview Ave at Withrow Ave,17677
Broadview Ave at Langley Ave-Hennick Bridgepoint Hospital,1760
Broadview Ave at Jack Layton Way,1763
Broadview Ave at Gerrard St East,1758
Broadview Ave at Mountstephen St,9318
Broadview Ave at Dundas St East,1756
Dundas St East at Munro St,2121
Dundas St East at River St,2127
Dundas St East at Regent Park Blvd,15873
Dundas St East at Parliament St,2125
Dundas St East at Ontario St,2123
Dundas St East at Sherbourne St,2131
Dundas St East at Jarvis St,2119
Dundas St East at Church St,2117
Dundas St East at Yonge St - Dundas Station,2136
Dundas St West at Bay St,2143
Dundas St West at Chestnut St,2154
Dundas St West at University Ave - St Patrick Station,2194
Dundas St West at St Patrick St,16064
Dundas St West at Beverley St,2147
Dundas St West at Huron St,2169
Dundas St West at Spadina Ave,2190
Dundas St West at Denison Ave,2157
Dundas St West at Bathurst St - Toronto Western Hospital,2141
Dundas St West at Manning Ave,15355
Dundas St West at Grace St,2166
Dundas St West at Shaw St,15356
Dundas St West at Ossington Ave,2176
Dundas St West at Dovercourt Rd,2159
Dundas St West at Rusholme Rd,2183
Dundas St West at Gladstone Ave,2165
Dundas St West at Dufferin St,2161
Dundas St West at Sheridan Ave,2187
Dundas St West at Brock Ave,2152
Dundas St West at Lansdowne Ave,2171
Dundas St West at Sterling Rd,990
Dundas St West at Sorauren Ave,988
Dundas St West at Howard Park Ave,986
Dundas St West at Roncesvalles Ave,2182
Roncesvalles Ave at Boustead Ave North Side,4568
Dundas St West at Bloor St West,2150
Dundas St West at Dundas West Outer Platform,13702
Dundas West Station,14666
