Union Station Streetcar Platform,10935
Queens Quay/Ferry Docks Station,10946
Queens Quay West at Harbourfront Centre,15333
Queens Quay West at Rees St West Side,6864
Queens Quay West at Lower Spadina Ave West Side,13370
Queens Quay West at Dan Leckie Way West Side,13367
Bathurst St at Queens Quay West North Side Billy Bishop Airport,13368
Fleet St at Bathurst St West Side,13362
Fleet St at Bastion St West Side,14511
Fleet St at Fort York Blvd West Side,14509
Manitoba Dr at Strachan Ave West Side,1063
Exhibition Loop,15190
Exhibition Loop at Manitoba Dr,13366
