King St East at Parliament St,4140
Parliament St at Richmond St East,6645
Parliament St at Queen St East,6643
Parliament St at Shuter St,6646
Parliament St at Dundas St East,15218
Dundas St East at Regent Park Blvd,15872
Dundas St East at River St,2126
Dundas St East at Munro St,2120
Dundas St East at Broadview Ave,2115
Broadview Ave at Queen St East,3374
Queen St East at Carroll St,3039
King St East at River St,4142
King St East at Sumach St,4149
King St East at Sackville St,4144
King St East at Parliament St,4141
King St East at Ontario St,4139
King St East at Sherbourne St,4146
King St West at Jarvis St West Side,15635
King St East at Church St West Side,12538
King St West at Yonge St West Side - King Station,15637
King St West at Bay St West Side,15639
King St West at Simcoe St - St. Andrew Station,15641
King St West at John St West Side,15643
King St West at Peter St,4181
King St West at Spadina Ave West Side,15647
King St West at Portland St,10176
King St West at Bathurst St,4156
King St West at Tecumseth St,4190
King St West at Niagara St,4179
King St West at Strachan Ave,4188
King St West at Shaw St,4163
Shaw St at Adelaide St West,6050
Shaw St at Queen St West,6052
Queen St West at Ossington Ave,6847
Queen St West at Dovercourt Rd,6832
Queen St West at Abell St,15633
Queen St West at Gladstone Ave,6838
Queen St West at Dufferin St West Side,14977
Queen St West at Brock Ave,6839
Queen St West at O'hara Ave,6845
Queen St West at Lansdowne Ave,6842
Queen St West at Sorauren Ave,6852
Queen St West at Triller Ave,6857
Queen St West at Roncesvalles Ave,6849
the Queensway at Glendale Ave - St Joseph's Health Centre,16402
the Queensway at Parkside Dr,6909
the Queensway at Colborne Lodge Dr West Side,14393
the Queensway at Ellis Ave West Side,14394
the Queensway at Windermere Ave West Side,14395
the Queensway at South Kingsway,6915
Humber Loop at the Queensway,6523
Opposite 2111 Lake Shore Blvd West,5200
2155 Lake Shore Blvd West,15746
Lake Shore Blvd West at Park Lawn Rd West Side,5196
Lake Shore Blvd West at Legion Rd,5186
Lake Shore Blvd West at Louisa St,5190
Lake Shore Blvd West at Burlington St,5174
Lake Shore Blvd West at Superior Ave,5202
Lake Shore Blvd West at Mimico Ave,5193
Lake Shore Blvd West at Hillside Ave,5179
Lake Shore Blvd West at Symons St,5203
Lake Shore Blvd West at Royal York Rd,5198
Lake Shore Blvd West at First St,13947
Lake Shore Blvd West at Third St,5168
Lake Shore Blvd West at Fifth St,5171
Lake Shore Blvd West at Islington Ave,5180
Lake Shore Blvd West at Tenth St,5151
Lake Shore Blvd West at Thirteenth St,5153
Lake Shore Blvd West at Fifteenth St,5155
Lake Shore Blvd West at Kipling Ave,5181
Lake Shore Blvd West at Twenty Second St,5156
Lake Shore Blvd West at Twenty Sixth St,5158
Lake Shore Blvd West at Twenty Ninth St,5161
Lake Shore Blvd West at Thirtieth St,5162
Lake Shore Blvd West at Long Branch Ave,5188
Lake Shore Blvd West at Thirty Seventh St,5165
Long Branch Loop,5511
