Union Station Streetcar Platform,10935
Queens Quay/Ferry Docks Station,10946
Queens Quay West at Harbourfront Centre,15333
Queens Quay West at Rees St West Side,6864
Queens Quay Loop at Lower Spadina Ave,10927
Spadina Ave at Queens Quay West North Side,12085
Spadina Ave at Bremner Blvd North Side,10777
Spadina Ave at Front St West North Side,7346
Spadina Ave at King St West North Side,7353
Spadina Ave at Richmond St West,11985
Spadina Ave at Queen St West North Side,7355
Spadina Ave at Sullivan St North Side,7356
Spadina Ave at Dundas St West North Side,7349
Spadina Ave at Nassau St,11986
Spadina Ave at College St North Side,7347
Spadina Ave at Willcocks St,7358
Spadina Ave at Harbord St North Side,7351
Spadina Ave at Sussex Ave,7357
Spadina Station Streetcar Platform,14816
