Queen St East at Neville Park Blvd,6813
Queen St East at Silver Birch Ave,6817
Queen St East at Beech Ave,15347
Queen St East at Glen Manor Dr,6804
Queen St East at Wineva Ave,6822
Queen St East at Bellefair Ave,15339
Queen St East at Elmer Ave,6803
Queen St East at Woodbine Ave,15343
Queen St East at Lockwood Rd,6811
Queen St East at Kingston Rd,6806
Queen St East at Coxwell Ave,3045
Queen St East at Woodfield Rd,15337
Queen St East at Greenwood Ave,3049
Queen St East at Alton Ave,3029
Queen St East at Leslie St,3057
Queen St East at Jones Ave,3052
Queen St East at Brooklyn Ave,3034
Queen St East at Pape Ave,3063
Queen St East at Carlaw Ave,3036
Queen St East at Logan Ave,3059
Queen St East at Empire Ave,3047
Queen St East at Boulton Ave,3031
Queen St East at Broadview Ave,3033
Gerrard St East at St Matthews Rd,1108
Broadview Ave at Gerrard St East,1758
Broadview Ave at Mountstephen St,9318
Broadview Ave at Dundas St East,1756
Broadview Ave at Queen St East,3374
Queen St East at Carroll St,3039
Queen St East at River St,3067
Queen St East at Sumach St,3074
Queen St East at Sackville St,3069
Queen St East at Parliament St,3065
Queen St East at Ontario St,3061
Queen St East at Sherbourne St,3071
Queen St East at Jarvis St,3051
Queen St East at Church St,3041
Church St at Richmond St East,803
Richmond St East at Victoria St,11810
Richmond St West at Yonge St West Side,3 10892
Church St at Adelaide St East,780
Church St at King St East,799
Church St at Wellington St East,12320
Wellington St at Yonge St,4711
Wellington St West at Bay St,4710
Queen St West at Bay St West Side,16354
York St at King St West,4736
Queen St West at York St,11794
Queen St West at University Ave - Osgoode Station,6859
Queen St West at St Patrick St,15340
McCaul St at Queen St West,2869
Queen St West at John St,3084
Queen St West at Soho St,3087
Queen St West at Spadina Ave,3088
Queen St West at Augusta Ave,3080
Queen St West at Bathurst St,3081
Queen St West at Palmerston Ave,6848
Queen St West at Claremont St,6830
Queen St West at Strachan Ave,6855
Queen St West at Shaw St,6851
Queen St West at Ossington Ave,6847
Queen St West at Dovercourt Rd,6832
Queen St West at Abell St,15633
Queen St West at Gladstone Ave,6838
Dufferin St at Melbourne Ave,2074
Dufferin St at King St West,2067
Dufferin St at Liberty St,2072
Dufferin St at Springhurst Ave,2092
Dufferin Gate Loop,2032
Queen St West at Dufferin St West Side,14977
Queen St West at Brock Ave,6839
Queen St West at O'hara Ave,6845
Queen St West at Lansdowne Ave,6842
Queen St West at Sorauren Ave,6852
Queen St West at Triller Ave,6857
Queen St West at Roncesvalles Ave,6849
the Queensway at Glendale Ave - St Joseph's Health Centre,16402
the Queensway at Parkside Dr,6909
the Queensway at Colborne Lodge Dr West Side,14393
the Queensway at Ellis Ave West Side,14394
the Queensway at Windermere Ave West Side,14395
the Queensway at South Kingsway,6915
Humber Loop at the Queensway,6523
Opposite 2111 Lake Shore Blvd West,5200
2155 Lake Shore Blvd West,15746
Lake Shore Blvd West at Park Lawn Rd West Side,5196
Lake Shore Blvd West at Legion Rd,5186
Lake Shore Blvd West at Louisa St,5190
Lake Shore Blvd West at Burlington St,5174
Lake Shore Blvd West at Superior Ave,5202
Lake Shore Blvd West at Mimico Ave,5193
Lake Shore Blvd West at Hillside Ave,5179
Lake Shore Blvd West at Symons St,5203
Lake Shore Blvd West at Royal York Rd,5198
Lake Shore Blvd West at First St,13947
Lake Shore Blvd West at Third St,5168
Lake Shore Blvd West at Fifth St,5171
Lake Shore Blvd West at Islington Ave,5180
Lake Shore Blvd West at Tenth St,5151
Lake Shore Blvd West at Thirteenth St,5153
Lake Shore Blvd West at Fifteenth St,5155
Lake Shore Blvd West at Kipling Ave,5181
Lake Shore Blvd West at Twenty Second St,5156
Lake Shore Blvd West at Twenty Sixth St,5158
Lake Shore Blvd West at Twenty Ninth St,5161
Lake Shore Blvd West at Thirtieth St,5162
Lake Shore Blvd West at Long Branch Ave,5188
Lake Shore Blvd West at Thirty Seventh St,5165
Long Branch Loop,5511
