Broadview Station,14640
Erindale Ave at Broadview Ave,2428
Broadview Ave at Danforth Ave,3716
Broadview Ave at Wolfrey Ave,1769
Broadview Ave at Millbrook Cres,1762
Broadview Ave at Withrow Ave,1767
Broadview Ave at Langley Ave-Hennick Bridgepoint Hospital,1760
Broadview Ave at Jack Layton Way,1763
Broadview Ave at Gerrard St East,1758
Broadview Ave at Mountstephen St,9318
Broadview Ave at Dundas St East,1756
Broadview Ave at Queen St East,3374
Queen St East at Carroll St,3039
King St East at River St,4142
King St East at Sumach St,4149
Distillery Loop,15462
Cherry St at Front St East,15460
King St East at Sackville St,4144
King St East at Parliament St,4141
King St East at Ontario St,4139
King St East at Sherbourne St,4146
King St West at Jarvis St West Side,15635
King St East at Church St West Side,12538
King St West at Yonge St West Side - King Station,15637
King St West at Bay St West Side,15639
King St West at Simcoe St - St. Andrew Station,15641
King St West at John St West Side,15643
King St West at Peter St,4181
King St West at Spadina Ave West Side,15647
King St West at Portland St,10176
King St West at Bathurst St,4156
King St West at Tecumseth St,4190
King St West at Niagara St,4179
King St West at Strachan Ave,4188
King St West at Shaw St,4163
Shaw St at Adelaide St West,6050
Shaw St at Queen St West,6052
Queen St West at Ossington Ave,6847
Queen St West at Dovercourt Rd,6832
Queen St West at Abell St,15633
Queen St West at Gladstone Ave,6838
Queen St West at Dufferin St West Side,14977
Queen St West at Brock Ave,6839
Queen St West at O'hara Ave,6845
Queen St West at Lansdowne Ave,6842
Queen St West at Sorauren Ave,6852
Queen St West at Triller Ave,6857
Queen St West at Roncesvalles Ave,6849
Roncesvalles Ave at Queen St West North Side,15059
Roncesvalles Ave at Marion St North Side,15038
Roncesvalles Ave at Garden Ave,4574
Roncesvalles Ave at Fermanagh Ave,4571
Roncesvalles Ave at Grenadier Rd,4576
Roncesvalles Ave at Howard Park Ave,4578
Roncesvalles Ave at Boustead Ave North Side,4568
Dundas St West at Bloor St West,2150
Dundas West Station,14665
the Queensway at Glendale Ave - St Joseph's Health Centre,16402
the Queensway at Parkside Dr,6909
the Queensway at Colborne Lodge Dr West Side,14393
the Queensway at Ellis Ave West Side,14394
the Queensway at Windermere Ave West Side,14395
the Queensway at South Kingsway,6915
Humber Loop at the Queensway,6523
