Main Street Station,14741
Main St at Danforth Ave,1263
Main St at Gerrard St East,13923
Gerrard St East at Norwood Rd,1126
Gerrard St East at Glenmount Park Rd,1119
Gerrard St East at Golfview Ave,1121
Gerrard St East at Woodbine Ave,1128
Gerrard St East at Kingsmount Park Rd,1123
Gerrard St East at Bowmore Rd,1116
Gerrard St East at Beaton Ave,1114
Gerrard St East at Coxwell Ave,1117
Coxwell Ave at Lower Gerrard St East,1794
Gerrard St East at Ashdale Ave,1079
Gerrard St East at Woodfield Rd,15357
Gerrard St East at Greenwood Ave,1090
Gerrard St East at Prust Ave,1103
Gerrard St East at Leslie St,1095
Gerrard St East at Jones Ave,1093
Gerrard St East at Marjory Ave,1099
Gerrard St East at Pape Ave,1101
Gerrard St East at Carlaw Ave,1084
Gerrard St East at Logan Ave,1097
Gerrard St East at de Grassi St,1086
Gerrard St East at Broadview Ave,1082
Gerrard St East at St Matthews Rd,1108
Gerrard St East at River St,1105
Gerrard St East at Sumach St,1110
Gerrard St East at Sackville St,1107
Gerrard St East at Parliament St,1102
Parliament St at Carlton St,1451
Carlton St at Ontario St,756
Carlton St at Sherbourne St,759
Carlton St at Jarvis St,754
Carlton St at Church St,752
Carlton St at Yonge St - College Station,760
College St at Bay St,814
College St at Elizabeth St,829
College St at Queen's Park - Queen's Park Station,841
College St at McCaul St,838
College St at St George St,845
College St at Spadina Ave,844
College St at Augusta Ave,12338
College St at Borden St,817
College St at Bathurst St,812
College St at Euclid Ave,831
College St at Grace St,833
College St at Crawford St,823
College St at Ossington Ave,840
College St at Dovercourt Rd,825
College St at Havelock St,834
College St at Dufferin St,827
College St at Brock Ave,819
College St at Lansdowne Ave,836
Dundas St West at Sterling Rd,990
Dundas St West at Sorauren Ave,988
Dundas St West at Howard Park Ave,986
Howard Park Ave at Roncesvalles Ave,1155
Dundas St West at Bloor St West,2150
Dundas West Station,15287
Howard Park Ave at Indian Rd,1151
Howard Park Ave at Parkside Dr,1153
High Park Loop,1252
